image_name,breed,species,width,height,total_pixels,fg_pixels,boundary_pixels,bg_pixels,fg_pct,boundary_pct,bg_pct
Birman_162,Birman,cat,334,500,167000,59234,84050,23716,35.47,50.33,14.2
Birman_166,Birman,cat,500,333,166500,29180,122793,14527,17.53,73.75,8.72
Birman_169,Birman,cat,333,500,166500,43267,101779,21454,25.99,61.13,12.89
Bombay_10,Bombay,cat,500,375,187500,50364,120729,16407,26.86,64.39,8.75
Bombay_121,Bombay,cat,300,209,62700,22429,29332,10939,35.77,46.78,17.45
Bombay_123,Bombay,cat,360,269,96840,40643,40133,16064,41.97,41.44,16.59
Bombay_125,Bombay,cat,448,300,134400,42456,76460,15484,31.59,56.89,11.52
Bombay_140,Bombay,cat,1725,1600,2760000,1075000,1315713,369287,38.95,47.67,13.38
Bombay_151,Bombay,cat,800,600,480000,224943,197834,57223,46.86,41.22,11.92
Bombay_153,Bombay,cat,400,290,116000,22430,79076,14494,19.34,68.17,12.49
Bombay_156,Bombay,cat,500,359,179500,83909,70306,25285,46.75,39.17,14.09
Bombay_160,Bombay,cat,174,175,30450,8644,17763,4043,28.39,58.33,13.28
Bombay_167,Bombay,cat,500,486,243000,119998,86588,36414,49.38,35.63,14.99
British_Shorthair_10,British_Shorthair,cat,233,350,81550,26302,40923,14325,32.25,50.18,17.57
British_Shorthair_113,British_Shorthair,cat,457,500,228500,32986,171500,24014,14.44,75.05,10.51
British_Shorthair_115,British_Shorthair,cat,423,500,211500,101883,85292,24325,48.17,40.33,11.5
British_Shorthair_122,British_Shorthair,cat,500,346,173000,40618,115481,16901,23.48,66.75,9.77
British_Shorthair_139,British_Shorthair,cat,500,444,222000,120381,67777,33842,54.23,30.53,15.24
British_Shorthair_144,British_Shorthair,cat,500,375,187500,81434,88767,17299,43.43,47.34,9.23
British_Shorthair_161,British_Shorthair,cat,333,500,166500,84464,57409,24627,50.73,34.48,14.79
British_Shorthair_166,British_Shorthair,cat,333,500,166500,22243,130817,13440,13.36,78.57,8.07
British_Shorthair_176,British_Shorthair,cat,500,375,187500,74024,97172,16304,39.48,51.83,8.7
British_Shorthair_180,British_Shorthair,cat,333,500,166500,50672,89323,26505,30.43,53.65,15.92
Egyptian_Mau_10,Egyptian_Mau,cat,600,715,429000,147650,225505,55845,34.42,52.57,13.02
Egyptian_Mau_101,Egyptian_Mau,cat,480,360,172800,19017,136948,16835,11.01,79.25,9.74
Egyptian_Mau_136,Egyptian_Mau,cat,246,280,68880,24370,31581,12929,35.38,45.85,18.77
Egyptian_Mau_138,Egyptian_Mau,cat,448,336,150528,44713,84388,21427,29.7,56.06,14.23
Egyptian_Mau_140,Egyptian_Mau,cat,500,375,187500,17831,151813,17856,9.51,80.97,9.52
Egyptian_Mau_15,Egyptian_Mau,cat,500,334,167000,9761,145535,11704,5.84,87.15,7.01
Egyptian_Mau_152,Egyptian_Mau,cat,480,360,172800,52618,93360,26822,30.45,54.03,15.52
Egyptian_Mau_160,Egyptian_Mau,cat,720,482,347040,69809,239292,37939,20.12,68.95,10.93
Egyptian_Mau_161,Egyptian_Mau,cat,480,360,172800,55132,91414,26254,31.91,52.9,15.19
Egyptian_Mau_164,Egyptian_Mau,cat,448,336,150528,42148,89083,19297,28.0,59.18,12.82
Maine_Coon_115,Maine_Coon,cat,334,500,167000,116024,27518,23458,69.48,16.48,14.05
Maine_Coon_119,Maine_Coon,cat,500,333,166500,35291,105872,25337,21.2,63.59,15.22
Maine_Coon_13,Maine_Coon,cat,500,388,194000,98036,72571,23393,50.53,37.41,12.06
Maine_Coon_136,Maine_Coon,cat,403,500,201500,57506,118086,25908,28.54,58.6,12.86
Maine_Coon_139,Maine_Coon,cat,500,364,182000,29911,136054,16035,16.43,74.75,8.81
Maine_Coon_143,Maine_Coon,cat,332,500,166000,81158,60663,24179,48.89,36.54,14.57
Maine_Coon_144,Maine_Coon,cat,473,500,236500,135004,68208,33288,57.08,28.84,14.08
Maine_Coon_150,Maine_Coon,cat,500,333,166500,12698,142778,11024,7.63,85.75,6.62
Maine_Coon_155,Maine_Coon,cat,500,333,166500,45471,103795,17234,27.31,62.34,10.35
Maine_Coon_18,Maine_Coon,cat,323,500,161500,75212,66100,20188,46.57,40.93,12.5
Persian_106,Persian,cat,398,500,199000,101152,69963,27885,50.83,35.16,14.01
Persian_114,Persian,cat,500,439,219500,97429,91401,30670,44.39,41.64,13.97
Persian_128,Persian,cat,500,334,167000,65277,88413,13310,39.09,52.94,7.97
Persian_131,Persian,cat,500,375,187500,86709,73134,27657,46.24,39.0,14.75
Persian_134,Persian,cat,500,375,187500,101612,59883,26005,54.19,31.94,13.87
Persian_14,Persian,cat,375,500,187500,141595,21149,24756,75.52,11.28,13.2
Persian_143,Persian,cat,500,333,166500,25004,127364,14132,15.02,76.49,8.49
Persian_163,Persian,cat,500,500,250000,181295,45445,23260,72.52,18.18,9.3
Persian_165,Persian,cat,500,333,166500,132677,17505,16318,79.69,10.51,9.8
Persian_175,Persian,cat,375,500,187500,109072,46764,31664,58.17,24.94,16.89
Ragdoll_10,Ragdoll,cat,500,375,187500,43112,129418,14970,22.99,69.02,7.98
Ragdoll_100,Ragdoll,cat,461,364,167804,92509,42718,32577,55.13,25.46,19.41
Ragdoll_114,Ragdoll,cat,333,500,166500,71518,69948,25034,42.95,42.01,15.04
Ragdoll_115,Ragdoll,cat,500,333,166500,58955,81466,26079,35.41,48.93,15.66
Ragdoll_126,Ragdoll,cat,334,500,167000,86818,52702,27480,51.99,31.56,16.46
Ragdoll_135,Ragdoll,cat,412,480,197760,69452,96869,31439,35.12,48.98,15.9
Ragdoll_143,Ragdoll,cat,500,383,191500,121566,50282,19652,63.48,26.26,10.26
Ragdoll_165,Ragdoll,cat,332,500,166000,24111,125230,16659,14.52,75.44,10.04
Ragdoll_174,Ragdoll,cat,332,500,166000,74165,68688,23147,44.68,41.38,13.94
Ragdoll_177,Ragdoll,cat,500,333,166500,51792,99265,15443,31.11,59.62,9.28
Russian_Blue_100,Russian_Blue,cat,375,500,187500,95890,63336,28274,51.14,33.78,15.08
Russian_Blue_101,Russian_Blue,cat,500,400,200000,52775,121084,26141,26.39,60.54,13.07
Russian_Blue_106,Russian_Blue,cat,325,500,162500,50516,85984,26000,31.09,52.91,16.0
Russian_Blue_108,Russian_Blue,cat,281,500,140500,48622,61992,29886,34.61,44.12,21.27
Russian_Blue_111,Russian_Blue,cat,500,375,187500,131431,40921,15148,70.1,21.82,8.08
Russian_Blue_112,Russian_Blue,cat,500,375,187500,83659,76546,27295,44.62,40.82,14.56
Russian_Blue_128,Russian_Blue,cat,375,500,187500,109133,51158,27209,58.2,27.28,14.51
Russian_Blue_139,Russian_Blue,cat,500,333,166500,137054,15658,13788,82.31,9.4,8.28
Russian_Blue_150,Russian_Blue,cat,500,333,166500,46972,106405,13123,28.21,63.91,7.88
Russian_Blue_168,Russian_Blue,cat,333,500,166500,38301,106861,21338,23.0,64.18,12.82
Siamese_108,Siamese,cat,500,378,189000,38664,134458,15878,20.46,71.14,8.4
Siamese_109,Siamese,cat,500,399,199500,90888,89191,19421,45.56,44.71,9.73
Siamese_115,Siamese,cat,500,335,167500,56746,90514,20240,33.88,54.04,12.08
Siamese_142,Siamese,cat,500,439,219500,118926,63195,37379,54.18,28.79,17.03
Siamese_151,Siamese,cat,333,500,166500,139361,7915,19224,83.7,4.75,11.55
Siamese_153,Siamese,cat,500,333,166500,20610,131167,14723,12.38,78.78,8.84
Siamese_158,Siamese,cat,500,375,187500,84980,78377,24143,45.32,41.8,12.88
Siamese_17,Siamese,cat,500,500,250000,125105,87148,37747,50.04,34.86,15.1
Siamese_173,Siamese,cat,354,500,177000,44759,100957,31284,25.29,57.04,17.67
Siamese_175,Siamese,cat,500,375,187500,51970,109620,25910,27.72,58.46,13.82
Sphynx_111,Sphynx,cat,332,500,166000,92606,51431,21963,55.79,30.98,13.23
Sphynx_127,Sphynx,cat,332,500,166000,27653,121201,17146,16.66,73.01,10.33
Sphynx_128,Sphynx,cat,500,281,140500,14451,116185,9864,10.29,82.69,7.02
Sphynx_131,Sphynx,cat,334,500,167000,15455,135310,16235,9.25,81.02,9.72
Sphynx_14,Sphynx,cat,500,333,166500,79861,69780,16859,47.96,41.91,10.13
Sphynx_143,Sphynx,cat,500,366,183000,56634,98279,28087,30.95,53.7,15.35
Sphynx_152,Sphynx,cat,500,480,240000,61887,149718,28395,25.79,62.38,11.83
Sphynx_155,Sphynx,cat,500,429,214500,70899,122987,20614,33.05,57.34,9.61
Sphynx_169,Sphynx,cat,500,333,166500,45465,104529,16506,27.31,62.78,9.91
Sphynx_176,Sphynx,cat,330,500,165000,77215,52128,35657,46.8,31.59,21.61
american_bulldog_106,american_bulldog,dog,325,500,162500,28956,113234,20310,17.82,69.68,12.5
american_bulldog_115,american_bulldog,dog,500,333,166500,22002,126336,18162,13.21,75.88,10.91
american_bulldog_117,american_bulldog,dog,375,500,187500,41755,117566,28179,22.27,62.7,15.03
american_bulldog_121,american_bulldog,dog,500,333,166500,7670,147842,10988,4.61,88.79,6.6
american_bulldog_123,american_bulldog,dog,332,500,166000,7440,147855,10705,4.48,89.07,6.45
american_bulldog_140,american_bulldog,dog,500,333,166500,85340,49801,31359,51.26,29.91,18.83
american_bulldog_141,american_bulldog,dog,333,500,166500,76947,67598,21955,46.21,40.6,13.19
american_bulldog_168,american_bulldog,dog,500,375,187500,59590,115443,12467,31.78,61.57,6.65
american_bulldog_173,american_bulldog,dog,500,333,166500,62984,94563,8953,37.83,56.79,5.38
american_bulldog_181,american_bulldog,dog,500,334,167000,98165,55795,13040,58.78,33.41,7.81
american_pit_bull_terrier_114,american_pit_bull_terrier,dog,300,246,73800,23944,41310,8546,32.44,55.98,11.58
american_pit_bull_terrier_125,american_pit_bull_terrier,dog,300,225,67500,32632,25511,9357,48.34,37.79,13.86
american_pit_bull_terrier_13,american_pit_bull_terrier,dog,375,500,187500,43981,119702,23817,23.46,63.84,12.7
american_pit_bull_terrier_140,american_pit_bull_terrier,dog,300,291,87300,24735,54605,7960,28.33,62.55,9.12
american_pit_bull_terrier_146,american_pit_bull_terrier,dog,246,300,73800,8489,59035,6276,11.5,79.99,8.5
american_pit_bull_terrier_150,american_pit_bull_terrier,dog,225,300,67500,22639,32945,11916,33.54,48.81,17.65
american_pit_bull_terrier_154,american_pit_bull_terrier,dog,300,226,67800,7980,52920,6900,11.77,78.05,10.18
american_pit_bull_terrier_156,american_pit_bull_terrier,dog,215,216,46440,15084,24090,7266,32.48,51.87,15.65
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,190,300,57000,19309,27149,10542,33.88,47.63,18.49
american_pit_bull_terrier_169,american_pit_bull_terrier,dog,300,225,67500,25979,28069,13452,38.49,41.58,19.93
basset_hound_106,basset_hound,dog,500,357,178500,10911,156763,10826,6.11,87.82,6.06
basset_hound_107,basset_hound,dog,375,500,187500,33343,132380,21777,17.78,70.6,11.61
basset_hound_11,basset_hound,dog,375,500,187500,35338,128514,23648,18.85,68.54,12.61
basset_hound_110,basset_hound,dog,333,500,166500,46874,88621,31005,28.15,53.23,18.62
basset_hound_117,basset_hound,dog,500,333,166500,40094,100357,26049,24.08,60.27,15.65
basset_hound_123,basset_hound,dog,500,333,166500,38917,106296,21287,23.37,63.84,12.78
basset_hound_142,basset_hound,dog,500,333,166500,70814,83014,12672,42.53,49.86,7.61
basset_hound_144,basset_hound,dog,500,333,166500,17450,142190,6860,10.48,85.4,4.12
basset_hound_149,basset_hound,dog,288,360,103680,23327,72443,7910,22.5,69.87,7.63
basset_hound_170,basset_hound,dog,500,333,166500,75830,78602,12068,45.54,47.21,7.25
beagle_10,beagle,dog,500,334,167000,51273,77381,38346,30.7,46.34,22.96
beagle_107,beagle,dog,500,361,180500,39550,127267,13683,21.91,70.51,7.58
beagle_111,beagle,dog,500,333,166500,52087,100057,14356,31.28,60.09,8.62
beagle_117,beagle,dog,500,332,166000,28472,122828,14700,17.15,73.99,8.86
beagle_121,beagle,dog,500,375,187500,41775,103989,41736,22.28,55.46,22.26
beagle_128,beagle,dog,500,333,166500,48642,89577,28281,29.21,53.8,16.99
beagle_143,beagle,dog,500,500,250000,134474,95957,19569,53.79,38.38,7.83
beagle_164,beagle,dog,500,375,187500,17851,158106,11543,9.52,84.32,6.16
beagle_171,beagle,dog,500,375,187500,66082,103941,17477,35.24,55.44,9.32
beagle_173,beagle,dog,352,288,101376,21836,72014,7526,21.54,71.04,7.42
boxer_112,boxer,dog,500,333,166500,36815,118870,10815,22.11,71.39,6.5
boxer_129,boxer,dog,500,333,166500,9119,151012,6369,5.48,90.7,3.83
boxer_133,boxer,dog,500,368,184000,40031,134402,9567,21.76,73.04,5.2
boxer_140,boxer,dog,500,375,187500,54319,123735,9446,28.97,65.99,5.04
boxer_143,boxer,dog,500,375,187500,84005,90330,13165,44.8,48.18,7.02
boxer_144,boxer,dog,500,375,187500,34793,137263,15444,18.56,73.21,8.24
boxer_145,boxer,dog,334,500,167000,9692,148998,8310,5.8,89.22,4.98
boxer_147,boxer,dog,500,375,187500,95376,73674,18450,50.87,39.29,9.84
boxer_157,boxer,dog,333,500,166500,64774,80917,20809,38.9,48.6,12.5
boxer_162,boxer,dog,400,500,200000,18822,171022,10156,9.41,85.51,5.08
chihuahua_106,chihuahua,dog,300,225,67500,2913,61640,2947,4.32,91.32,4.37
chihuahua_107,chihuahua,dog,300,225,67500,10057,49042,8401,14.9,72.65,12.45
chihuahua_109,chihuahua,dog,300,225,67500,12400,46677,8423,18.37,69.15,12.48
chihuahua_12,chihuahua,dog,500,375,187500,49361,110505,27634,26.33,58.94,14.74
chihuahua_122,chihuahua,dog,300,225,67500,10909,50425,6166,16.16,74.7,9.13
chihuahua_131,chihuahua,dog,300,173,51900,4980,40655,6265,9.6,78.33,12.07
chihuahua_132,chihuahua,dog,300,225,67500,8389,52833,6278,12.43,78.27,9.3
chihuahua_134,chihuahua,dog,225,300,67500,21780,36464,9256,32.27,54.02,13.71
chihuahua_16,chihuahua,dog,405,500,202500,65936,103648,32916,32.56,51.18,16.25
chihuahua_166,chihuahua,dog,300,225,67500,11750,48285,7465,17.41,71.53,11.06
english_cocker_spaniel_109,english_cocker_spaniel,dog,333,500,166500,67735,65686,33079,40.68,39.45,19.87
english_cocker_spaniel_128,english_cocker_spaniel,dog,500,375,187500,10082,171483,5935,5.38,91.46,3.17
english_cocker_spaniel_130,english_cocker_spaniel,dog,500,333,166500,43222,107573,15705,25.96,64.61,9.43
english_cocker_spaniel_136,english_cocker_spaniel,dog,332,500,166000,82577,60115,23308,49.75,36.21,14.04
english_cocker_spaniel_143,english_cocker_spaniel,dog,500,375,187500,31321,137447,18732,16.7,73.31,9.99
english_cocker_spaniel_149,english_cocker_spaniel,dog,500,375,187500,42144,120069,25287,22.48,64.04,13.49
english_cocker_spaniel_151,english_cocker_spaniel,dog,327,500,163500,70047,68391,25062,42.84,41.83,15.33
english_cocker_spaniel_161,english_cocker_spaniel,dog,338,500,169000,53526,94374,21100,31.67,55.84,12.49
english_cocker_spaniel_165,english_cocker_spaniel,dog,500,375,187500,34180,138886,14434,18.23,74.07,7.7
english_cocker_spaniel_166,english_cocker_spaniel,dog,500,375,187500,96435,74014,17051,51.43,39.47,9.09
english_setter_113,english_setter,dog,500,335,167500,59625,83184,24691,35.6,49.66,14.74
english_setter_123,english_setter,dog,500,470,235000,19490,187715,27795,8.29,79.88,11.83
english_setter_126,english_setter,dog,500,375,187500,39516,120232,27752,21.08,64.12,14.8
english_setter_132,english_setter,dog,500,355,177500,33302,119766,24432,18.76,67.47,13.76
english_setter_144,english_setter,dog,500,332,166000,31137,114911,19952,18.76,69.22,12.02
english_setter_149,english_setter,dog,500,375,187500,30375,138833,18292,16.2,74.04,9.76
english_setter_153,english_setter,dog,500,405,202500,44135,131854,26511,21.8,65.11,13.09
english_setter_162,english_setter,dog,375,500,187500,24745,151635,11120,13.2,80.87,5.93
english_setter_168,english_setter,dog,500,375,187500,13224,165518,8758,7.05,88.28,4.67
english_setter_169,english_setter,dog,500,375,187500,29029,146790,11681,15.48,78.29,6.23
german_shorthaired_100,german_shorthaired,dog,500,333,166500,14184,136473,15843,8.52,81.97,9.52
german_shorthaired_103,german_shorthaired,dog,500,334,167000,38784,109903,18313,23.22,65.81,10.97
german_shorthaired_117,german_shorthaired,dog,500,375,187500,98752,71769,16979,52.67,38.28,9.06
german_shorthaired_124,german_shorthaired,dog,375,500,187500,71869,90234,25397,38.33,48.12,13.55
german_shorthaired_125,german_shorthaired,dog,500,375,187500,21182,155467,10851,11.3,82.92,5.79
german_shorthaired_127,german_shorthaired,dog,357,500,178500,37176,119392,21932,20.83,66.89,12.29
german_shorthaired_15,german_shorthaired,dog,500,333,166500,44554,100343,21603,26.76,60.27,12.97
german_shorthaired_151,german_shorthaired,dog,500,333,166500,27436,127426,11638,16.48,76.53,6.99
german_shorthaired_153,german_shorthaired,dog,333,500,166500,24569,124443,17488,14.76,74.74,10.5
german_shorthaired_157,german_shorthaired,dog,333,500,166500,90600,64043,11857,54.41,38.46,7.12
great_pyrenees_101,great_pyrenees,dog,500,375,187500,82335,84858,20307,43.91,45.26,10.83
great_pyrenees_103,great_pyrenees,dog,500,375,187500,33898,118578,35024,18.08,63.24,18.68
great_pyrenees_118,great_pyrenees,dog,500,375,187500,23008,153940,10552,12.27,82.1,5.63
great_pyrenees_129,great_pyrenees,dog,500,309,154500,24420,113564,16516,15.81,73.5,10.69
great_pyrenees_135,great_pyrenees,dog,420,315,132300,19498,103463,9339,14.74,78.2,7.06
great_pyrenees_142,great_pyrenees,dog,500,333,166500,58220,91331,16949,34.97,54.85,10.18
great_pyrenees_145,great_pyrenees,dog,500,333,166500,77294,74928,14278,46.42,45.0,8.58
great_pyrenees_150,great_pyrenees,dog,333,500,166500,73385,79282,13833,44.08,47.62,8.31
great_pyrenees_158,great_pyrenees,dog,500,375,187500,34513,141454,11533,18.41,75.44,6.15
great_pyrenees_168,great_pyrenees,dog,500,375,187500,62071,100137,25292,33.1,53.41,13.49
havanese_100,havanese,dog,500,459,229500,31103,177379,21018,13.55,77.29,9.16
havanese_117,havanese,dog,500,367,183500,63177,103546,16777,34.43,56.43,9.14
havanese_119,havanese,dog,500,307,153500,41382,102910,9208,26.96,67.04,6.0
havanese_120,havanese,dog,500,375,187500,74175,97112,16213,39.56,51.79,8.65
havanese_130,havanese,dog,500,375,187500,98518,71785,17197,52.54,38.29,9.17
havanese_14,havanese,dog,500,333,166500,27630,119403,19467,16.59,71.71,11.69
havanese_140,havanese,dog,500,362,181000,41099,124129,15772,22.71,68.58,8.71
havanese_15,havanese,dog,357,500,178500,70966,81615,25919,39.76,45.72,14.52
havanese_164,havanese,dog,500,340,170000,20444,139487,10069,12.03,82.05,5.92
havanese_169,havanese,dog,500,375,187500,63575,97153,26772,33.91,51.81,14.28
japanese_chin_109,japanese_chin,dog,500,444,222000,98160,86648,37192,44.22,39.03,16.75
japanese_chin_116,japanese_chin,dog,386,500,193000,42834,110368,39798,22.19,57.19,20.62
japanese_chin_121,japanese_chin,dog,500,334,167000,79003,59700,28297,47.31,35.75,16.94
japanese_chin_133,japanese_chin,dog,500,333,166500,40784,114370,11346,24.49,68.69,6.81
japanese_chin_140,japanese_chin,dog,500,375,187500,31394,133498,22608,16.74,71.2,12.06
japanese_chin_141,japanese_chin,dog,500,334,167000,21206,129243,16551,12.7,77.39,9.91
japanese_chin_155,japanese_chin,dog,375,500,187500,54544,108180,24776,29.09,57.7,13.21
japanese_chin_167,japanese_chin,dog,500,375,187500,30157,141575,15768,16.08,75.51,8.41
japanese_chin_17,japanese_chin,dog,500,377,188500,48550,121733,18217,25.76,64.58,9.66
japanese_chin_170,japanese_chin,dog,500,333,166500,69109,77324,20067,41.51,46.44,12.05
keeshond_111,keeshond,dog,500,333,166500,92285,53195,21020,55.43,31.95,12.62
keeshond_119,keeshond,dog,500,333,166500,71457,79394,15649,42.92,47.68,9.4
keeshond_123,keeshond,dog,500,333,166500,92838,53129,20533,55.76,31.91,12.33
keeshond_128,keeshond,dog,500,333,166500,32372,118409,15719,19.44,71.12,9.44
keeshond_130,keeshond,dog,333,500,166500,46915,99392,20193,28.18,59.69,12.13
keeshond_135,keeshond,dog,500,375,187500,108019,64076,15405,57.61,34.17,8.22
keeshond_139,keeshond,dog,500,375,187500,70835,99171,17494,37.78,52.89,9.33
keeshond_142,keeshond,dog,500,375,187500,66574,96255,24671,35.51,51.34,13.16
keeshond_143,keeshond,dog,500,373,186500,19461,157145,9894,10.43,84.26,5.31
keeshond_158,keeshond,dog,500,375,187500,81189,89515,16796,43.3,47.74,8.96
leonberger_106,leonberger,dog,333,500,166500,91565,51179,23756,54.99,30.74,14.27
leonberger_123,leonberger,dog,500,403,201500,60198,108265,33037,29.87,53.73,16.4
leonberger_13,leonberger,dog,334,500,167000,59000,79074,28926,35.33,47.35,17.32
leonberger_131,leonberger,dog,500,333,166500,75926,76526,14048,45.6,45.96,8.44
leonberger_15,leonberger,dog,500,414,207000,39956,145320,21724,19.3,70.2,10.49
leonberger_152,leonberger,dog,388,500,194000,122282,53705,18013,63.03,27.68,9.29
leonberger_158,leonberger,dog,500,375,187500,59265,109513,18722,31.61,58.41,9.99
leonberger_160,leonberger,dog,375,500,187500,100526,67107,19867,53.61,35.79,10.6
leonberger_167,leonberger,dog,481,500,240500,38440,183692,18368,15.98,76.38,7.64
leonberger_170,leonberger,dog,500,375,187500,38333,136075,13092,20.44,72.57,6.98
miniature_pinscher_104,miniature_pinscher,dog,500,333,166500,18126,135355,13019,10.89,81.29,7.82
miniature_pinscher_111,miniature_pinscher,dog,341,320,109120,19251,68942,20927,17.64,63.18,19.18
miniature_pinscher_114,miniature_pinscher,dog,300,225,67500,10376,50120,7004,15.37,74.25,10.38
miniature_pinscher_119,miniature_pinscher,dog,246,300,73800,12178,52490,9132,16.5,71.12,12.37
miniature_pinscher_122,miniature_pinscher,dog,300,262,78600,11859,57972,8769,15.09,73.76,11.16
miniature_pinscher_123,miniature_pinscher,dog,225,300,67500,23525,37104,6871,34.85,54.97,10.18
miniature_pinscher_124,miniature_pinscher,dog,133,200,26600,6807,18058,1735,25.59,67.89,6.52
miniature_pinscher_130,miniature_pinscher,dog,300,225,67500,7288,56158,4054,10.8,83.2,6.01
miniature_pinscher_146,miniature_pinscher,dog,300,268,80400,39798,15113,25489,49.5,18.8,31.7
miniature_pinscher_15,miniature_pinscher,dog,500,375,187500,44048,119055,24397,23.49,63.5,13.01
newfoundland_10,newfoundland,dog,335,500,167500,98266,44485,24749,58.67,26.56,14.78
newfoundland_102,newfoundland,dog,500,375,187500,46712,130272,10516,24.91,69.48,5.61
newfoundland_110,newfoundland,dog,500,375,187500,66645,97056,23799,35.54,51.76,12.69
newfoundland_113,newfoundland,dog,372,500,186000,69291,94814,21895,37.25,50.98,11.77
newfoundland_136,newfoundland,dog,334,500,167000,44179,104515,18306,26.45,62.58,10.96
newfoundland_139,newfoundland,dog,500,333,166500,98573,49076,18851,59.2,29.48,11.32
newfoundland_142,newfoundland,dog,500,375,187500,28268,146712,12520,15.08,78.25,6.68
newfoundland_151,newfoundland,dog,500,333,166500,74260,74130,18110,44.6,44.52,10.88
newfoundland_159,newfoundland,dog,500,375,187500,76818,94484,16198,40.97,50.39,8.64
newfoundland_164,newfoundland,dog,500,333,166500,58649,90394,17457,35.22,54.29,10.48
pomeranian_124,pomeranian,dog,300,225,67500,22749,38621,6130,33.7,57.22,9.08
pomeranian_129,pomeranian,dog,300,267,80100,35008,36447,8645,43.71,45.5,10.79
pomeranian_132,pomeranian,dog,300,249,74700,18026,51224,5450,24.13,68.57,7.3
pomeranian_134,pomeranian,dog,300,248,74400,29372,35926,9102,39.48,48.29,12.23
pomeranian_135,pomeranian,dog,218,300,65400,38186,19983,7231,58.39,30.56,11.06
pomeranian_150,pomeranian,dog,225,300,67500,25330,33550,8620,37.53,49.7,12.77
pomeranian_151,pomeranian,dog,300,225,67500,14849,46293,6358,22.0,68.58,9.42
pomeranian_158,pomeranian,dog,236,300,70800,25309,37476,8015,35.75,52.93,11.32
pomeranian_161,pomeranian,dog,300,200,60000,21428,32851,5721,35.71,54.75,9.54
pomeranian_169,pomeranian,dog,217,300,65100,18239,39408,7453,28.02,60.53,11.45
pug_112,pug,dog,333,500,166500,43182,94348,28970,25.94,56.67,17.4
pug_127,pug,dog,300,269,80700,36339,34670,9691,45.03,42.96,12.01
pug_139,pug,dog,300,235,70500,31620,29812,9068,44.85,42.29,12.86
pug_140,pug,dog,300,225,67500,27469,31006,9025,40.69,45.93,13.37
pug_142,pug,dog,300,225,67500,26225,31163,10112,38.85,46.17,14.98
pug_145,pug,dog,300,225,67500,24727,34770,8003,36.63,51.51,11.86
pug_16,pug,dog,500,375,187500,61982,99634,25884,33.06,53.14,13.8
pug_166,pug,dog,225,300,67500,34436,26307,6757,51.02,38.97,10.01
pug_168,pug,dog,225,300,67500,36977,19901,10622,54.78,29.48,15.74
pug_17,pug,dog,500,375,187500,57489,111196,18815,30.66,59.3,10.03
saint_bernard_100,saint_bernard,dog,500,375,187500,64756,108948,13796,34.54,58.11,7.36
saint_bernard_117,saint_bernard,dog,367,500,183500,70499,79034,33967,38.42,43.07,18.51
