image_id,breed,species,split,center_x,center_y,xmin,ymin,xmax,ymax,normalized_area
saint_bernard_167,saint_bernard,dog,train,0.47,0.5330330330330331,149,103,321,252,0.15392192192192192
Sphynx_111,Sphynx,cat,train,0.5180722891566265,0.217,53,1,291,216,0.3082530120481928
Bombay_10,Bombay,cat,train,0.498,0.29733333333333334,150,1,348,222,0.233376
Sphynx_162,Sphynx,cat,train,0.335,0.21794871794871795,122,27,213,126,0.051333333333333335
shiba_inu_101,shiba_inu,dog,train,0.5173333333333333,0.543,155,221,233,322,0.042016
beagle_125,beagle,dog,train,0.411,0.527027027027027,155,125,256,226,0.061267267267267264
Maine_Coon_142,Maine_Coon,cat,train,0.582,0.28,244,66,338,144,0.039104
pomeranian_169,pomeranian,dog,train,0.4608294930875576,0.20666666666666667,53,26,147,98,0.103963133640553
Siamese_141,Siamese,cat,train,0.659,0.3293333333333333,223,1,436,246,0.27832
pug_130,pug,dog,train,0.5916666666666667,0.44,77,3,278,195,0.5717333333333333
scottish_terrier_170,scottish_terrier,dog,train,0.558,0.408,146,1,412,305,0.43127466666666664
boxer_161,boxer,dog,train,0.443,0.45454545454545453,193,150,250,200,0.014805194805194806
yorkshire_terrier_107,yorkshire_terrier,dog,train,0.4624624624624625,0.381,31,73,277,308,0.3472072072072072
newfoundland_159,newfoundland,dog,train,0.555,0.444,175,89,380,244,0.16946666666666665
Persian_122,Persian,cat,train,0.546875,0.2708333333333333,60,16,290,244,0.34140625
great_pyrenees_129,great_pyrenees,dog,train,0.795,0.3851132686084142,351,69,444,169,0.06019417475728155
pomeranian_114,pomeranian,dog,train,0.39141414141414144,0.33666666666666667,47,62,108,140,0.0801010101010101
scottish_terrier_14,scottish_terrier,dog,train,0.43733333333333335,0.528,127,195,201,333,0.054464
Birman_149,Birman,cat,train,0.5120481927710844,0.426,54,97,286,329,0.32424096385542167
Sphynx_150,Sphynx,cat,train,0.625,0.254,103,26,312,228,0.2543253012048193
shiba_inu_112,shiba_inu,dog,train,0.636,0.336,296,99,340,153,0.012672
Russian_Blue_122,Russian_Blue,cat,train,0.539,0.424,164,35,375,283,0.27908266666666665
Sphynx_179,Sphynx,cat,train,0.4467391304347826,0.244,90,4,321,240,0.23702608695652175
english_cocker_spaniel_128,english_cocker_spaniel,dog,train,0.462,0.4146666666666667,192,113,270,198,0.03536
Maine_Coon_155,Maine_Coon,cat,train,0.298,0.4099099099099099,74,58,224,215,0.14144144144144144
Maine_Coon_124,Maine_Coon,cat,train,0.34534534534534533,0.234,19,3,211,231,0.26291891891891894
american_pit_bull_terrier_156,american_pit_bull_terrier,dog,train,0.5930232558139535,0.38657407407407407,62,27,193,140,0.31875538329026704
wheaten_terrier_167,wheaten_terrier,dog,train,0.325,0.22933333333333333,68,1,257,171,0.17136
Sphynx_176,Sphynx,cat,train,0.453030303030303,0.291,22,27,277,264,0.36627272727272725
basset_hound_171,basset_hound,dog,train,0.487,0.5540540540540541,110,36,377,333,0.47627027027027025
Ragdoll_10,Ragdoll,cat,train,0.59,0.32,227,46,363,194,0.10734933333333334
Russian_Blue_135,Russian_Blue,cat,train,0.559,0.3527315914489311,228,90,331,207,0.05724940617577197
Sphynx_160,Sphynx,cat,train,0.539,0.28360215053763443,197,27,342,184,0.12239247311827957
japanese_chin_17,japanese_chin,dog,train,0.499,0.3660477453580902,158,81,341,195,0.1106737400530504
german_shorthaired_117,german_shorthaired,dog,train,0.564,0.4666666666666667,134,45,430,305,0.41045333333333334
japanese_chin_159,japanese_chin,dog,train,0.56,0.501412429378531,180,93,380,262,0.19096045197740114
Abyssinian_158,Abyssinian,cat,train,0.501,0.30933333333333335,154,1,347,231,0.23674666666666666
Bombay_130,Bombay,cat,train,0.6741935483870968,0.1900369003690037,170,16,248,87,0.06592072372336627
Maine_Coon_134,Maine_Coon,cat,train,0.42342342342342343,0.208,88,42,194,166,0.07894294294294295
boxer_149,boxer,dog,train,0.452,0.464,176,107,276,241,0.07146666666666666
wheaten_terrier_118,wheaten_terrier,dog,train,0.34,0.646,32,219,223,427,0.21188266666666666
keeshond_136,keeshond,dog,train,0.449,0.6087470449172577,184,203,265,312,0.04174468085106383
pug_172,pug,dog,train,0.6244444444444445,0.26666666666666666,80,35,201,125,0.16133333333333333
Ragdoll_131,Ragdoll,cat,train,0.317,0.16393442622950818,107,9,210,111,0.05740983606557377
Abyssinian_1,Abyssinian,cat,train,0.6316666666666667,0.2875,333,72,425,158,0.032966666666666665
scottish_terrier_168,scottish_terrier,dog,train,0.474,0.420863309352518,183,92,291,259,0.08650359712230216
Abyssinian_107,Abyssinian,cat,train,0.369,0.3872767857142857,94,76,275,271,0.1575669642857143
staffordshire_bull_terrier_100,staffordshire_bull_terrier,dog,train,0.45995145631067963,0.36,127,115,252,245,0.07888349514563107
Maine_Coon_186,Maine_Coon,cat,train,0.4923547400611621,0.215,75,17,247,198,0.1904097859327217
Bengal_16,Bengal,cat,train,0.505,0.46846846846846846,112,14,393,298,0.4793033033033033
Bengal_126,Bengal,cat,train,0.267,0.37566844919786097,77,94,190,187,0.05619786096256685
miniature_pinscher_123,miniature_pinscher,dog,train,0.52,0.3016666666666667,33,39,201,142,0.25635555555555556
shiba_inu_174,shiba_inu,dog,train,0.36133333333333334,0.276,92,88,179,188,0.0464
Birman_147,Birman,cat,train,0.641,0.42018072289156627,276,89,365,190,0.05415060240963855
Sphynx_121,Sphynx,cat,train,0.6467065868263473,0.271,145,62,287,209,0.1249940119760479
Russian_Blue_10,Russian_Blue,cat,train,0.5278969957081545,0.2557142857142857,80,48,166,131,0.08752912323727774
Persian_126,Persian,cat,train,0.635,0.22555555555555556,260,60,375,143,0.04242222222222222
Abyssinian_118,Abyssinian,cat,train,0.38738738738738737,0.337,1,34,257,303,0.4135975975975976
miniature_pinscher_126,miniature_pinscher,dog,train,0.4928909952606635,0.44666666666666666,39,82,169,186,0.21358609794628752
great_pyrenees_102,great_pyrenees,dog,train,0.458,0.336,136,30,322,222,0.190464
great_pyrenees_121,great_pyrenees,dog,train,0.541,0.24634146341463414,186,32,355,170,0.11376585365853659
Ragdoll_180,Ragdoll,cat,train,0.44533333333333336,0.286,96,65,238,221,0.118144
keeshond_171,keeshond,dog,train,0.51,0.3626666666666667,165,15,345,257,0.23232
Birman_148,Birman,cat,train,0.326,0.3484375,97,28,229,195,0.137775
american_bulldog_106,american_bulldog,dog,train,0.2523076923076923,0.163,4,10,160,153,0.13728
British_Shorthair_183,British_Shorthair,cat,train,0.372,0.7,18,241,261,459,0.282528
yorkshire_terrier_108,yorkshire_terrier,dog,train,0.5669456066945606,0.256,184,13,358,243,0.16744769874476986
Bombay_107,Bombay,cat,train,0.515,0.3933333333333333,84,17,225,160,0.2987111111111111
german_shorthaired_165,german_shorthaired,dog,train,0.775,0.372,299,79,476,200,0.114224
english_cocker_spaniel_153,english_cocker_spaniel,dog,train,0.43,0.5249110320284698,148,82,282,213,0.12493950177935943
scottish_terrier_10,scottish_terrier,dog,train,0.149,0.29402985074626864,24,11,125,186,0.10552238805970149
Ragdoll_172,Ragdoll,cat,train,0.681,0.33633633633633636,256,1,425,223,0.22533333333333333
scottish_terrier_145,scottish_terrier,dog,train,0.443,0.3373333333333333,148,71,295,182,0.087024
boxer_16,boxer,dog,train,0.5448179271708683,0.388,114,120,275,268,0.13349019607843138
Ragdoll_143,Ragdoll,cat,train,0.374,0.4699738903394256,2,1,372,359,0.6916971279373368
chihuahua_150,chihuahua,dog,train,0.6428571428571429,0.34,109,27,260,177,0.26306620209059234
Sphynx_129,Sphynx,cat,train,0.457,0.16114457831325302,177,8,280,99,0.05646385542168675
Bengal_128,Bengal,cat,train,0.832,0.5643712574850299,333,100,499,277,0.17594011976047905
Maine_Coon_10,Maine_Coon,cat,train,0.43916666666666665,0.29555555555555557,97,78,430,454,0.23186666666666667
Bengal_13,Bengal,cat,train,0.217,0.533203125,87,109,130,164,0.0184765625
newfoundland_127,newfoundland,dog,train,0.421,0.4444444444444444,116,56,305,240,0.20886486486486486
Ragdoll_12,Ragdoll,cat,train,0.41,0.24174174174174173,157,26,253,135,0.06284684684684684
boxer_129,boxer,dog,train,0.518,0.45795795795795796,229,128,289,177,0.017657657657657658
British_Shorthair_179,British_Shorthair,cat,train,0.68,0.19066666666666668,276,5,404,138,0.09079466666666666
boxer_128,boxer,dog,train,0.261,0.7747747747747747,87,205,174,311,0.05538738738738739
Birman_158,Birman,cat,train,0.48756906077348067,0.536,142,235,211,301,0.025160220994475138
english_cocker_spaniel_150,english_cocker_spaniel,dog,train,0.4577114427860697,0.283,64,38,304,245,0.2471641791044776
pug_134,pug,dog,train,0.5783333333333334,0.24888888888888888,127,20,220,92,0.0992
beagle_168,beagle,dog,train,0.483,0.4053333333333333,62,8,421,296,0.551424
basset_hound_122,basset_hound,dog,train,0.4744744744744745,0.498,88,150,228,348,0.16648648648648648
Birman_153,Birman,cat,train,0.44,0.47297297297297297,59,42,381,343,0.4762751842751843
Egyptian_Mau_11,Egyptian_Mau,cat,train,0.6272455089820359,0.429,87,1,332,428,0.626437125748503
english_cocker_spaniel_157,english_cocker_spaniel,dog,train,0.481,0.2556701030927835,142,37,339,211,0.14135257731958764
pug_16,pug,dog,train,0.536,0.4146666666666667,138,36,398,275,0.33141333333333334
Abyssinian_135,Abyssinian,cat,train,0.4159159159159159,0.336,20,58,257,278,0.3131531531531532
pomeranian_15,pomeranian,dog,train,0.503,0.3373333333333333,184,43,319,210,0.12024
Ragdoll_149,Ragdoll,cat,train,0.5186666666666667,0.28,70,4,319,276,0.361216
samoyed_11,samoyed,dog,train,0.47384615384615386,0.266,69,42,239,224,0.1904
Abyssinian_121,Abyssinian,cat,train,0.5433884297520661,0.3240343347639485,68,13,195,138,0.28154151739793565
Birman_161,Birman,cat,train,0.378,0.39850746268656717,139,79,239,188,0.06507462686567164
British_Shorthair_106,British_Shorthair,cat,train,0.578,0.376,203,59,375,223,0.15044266666666667
japanese_chin_158,japanese_chin,dog,train,0.282,0.29733333333333334,71,55,211,168,0.08437333333333333
chihuahua_154,chihuahua,dog,train,0.5533333333333333,0.24444444444444444,100,2,232,108,0.20728888888888888
beagle_142,beagle,dog,train,0.535,0.3997005988023952,217,91,318,176,0.05140718562874252
saint_bernard_123,saint_bernard,dog,train,0.45,0.4879154078549849,194,134,256,189,0.020604229607250755
american_bulldog_135,american_bulldog,dog,train,0.647,0.27844311377245506,284,58,363,128,0.03311377245508982
British_Shorthair_166,British_Shorthair,cat,train,0.6876876876876877,0.342,189,130,269,212,0.0393993993993994
Abyssinian_167,Abyssinian,cat,train,0.5383386581469649,0.35,99,34,238,183,0.21344944862413687
shiba_inu_172,shiba_inu,dog,train,0.478,0.4876712328767123,105,25,373,331,0.44935890410958906
boxer_137,boxer,dog,train,0.453,0.4706666666666667,87,51,366,302,0.373488
samoyed_148,samoyed,dog,train,0.641,0.3333333333333333,249,48,392,202,0.11745066666666666
american_pit_bull_terrier_136,american_pit_bull_terrier,dog,train,0.5383333333333333,0.44666666666666666,103,55,220,146,0.15773333333333334
Ragdoll_153,Ragdoll,cat,train,0.748,0.25180722891566265,284,11,464,198,0.1622168674698795
Siamese_133,Siamese,cat,train,0.49550898203592814,0.416,80,122,251,294,0.1761197604790419
german_shorthaired_109,german_shorthaired,dog,train,0.701,0.18208955223880596,311,25,390,97,0.03395820895522388
saint_bernard_108,saint_bernard,dog,train,0.536,0.4024024024024024,220,90,316,178,0.050738738738738735
chihuahua_107,chihuahua,dog,train,0.225,0.3333333333333333,31,31,104,119,0.09517037037037036
leonberger_17,leonberger,dog,train,0.518,0.5493333333333333,193,151,325,261,0.07744
saint_bernard_117,saint_bernard,dog,train,0.5994550408719346,0.325,102,28,338,297,0.3459618528610354
american_bulldog_104,american_bulldog,dog,train,0.456,0.4246987951807229,96,29,360,253,0.3562409638554217
staffordshire_bull_terrier_140,staffordshire_bull_terrier,dog,train,0.391,0.436,47,41,344,286,0.38808
keeshond_123,keeshond,dog,train,0.586,0.38738738738738737,185,22,401,236,0.27762162162162163
english_setter_162,english_setter,dog,train,0.48933333333333334,0.524,117,176,250,348,0.12200533333333333
basset_hound_11,basset_hound,dog,train,0.4706666666666667,0.312,77,43,276,269,0.23986133333333334
leonberger_102,leonberger,dog,train,0.48243243243243245,0.459,118,184,239,275,0.05951891891891892
pug_144,pug,dog,train,0.4416243654822335,0.3283333333333333,10,21,164,176,0.4038917089678511
Bengal_167,Bengal,cat,train,0.5183333333333333,0.48444444444444446,74,18,237,200,0.4394962962962963
miniature_pinscher_127,miniature_pinscher,dog,train,0.5683333333333334,0.38666666666666666,115,29,226,145,0.19075555555555557
samoyed_127,samoyed,dog,train,0.365,0.20855614973262032,120,2,245,154,0.10160427807486631
boxer_108,boxer,dog,train,0.6066666666666667,0.357,92,62,363,295,0.33676266666666665
havanese_153,havanese,dog,train,0.501,0.47733333333333333,56,24,445,334,0.6431466666666666
Birman_164,Birman,cat,train,0.5113636363636364,0.5,45,10,315,309,0.7189548304360217
wheaten_terrier_10,wheaten_terrier,dog,train,0.803834808259587,0.483,226,192,319,291,0.05431858407079646
english_cocker_spaniel_136,english_cocker_spaniel,dog,train,0.4759036144578313,0.557,23,135,293,422,0.4668072289156627
english_setter_105,english_setter,dog,train,0.6466666666666666,0.309,128,21,357,288,0.326096
chihuahua_104,chihuahua,dog,train,0.6183333333333333,0.31,132,1,239,123,0.21756666666666666
boxer_17,boxer,dog,train,0.62125,0.368,122,59,375,309,0.31625
staffordshire_bull_terrier_141,staffordshire_bull_terrier,dog,train,0.471,0.4866666666666667,134,98,337,267,0.18297066666666667
Abyssinian_117,Abyssinian,cat,train,0.289,0.40399002493765584,72,102,217,222,0.08678304239401496
Bengal_104,Bengal,cat,train,0.374,0.28509719222462204,95,20,279,244,0.17803887688984882
Persian_100,Persian,cat,train,0.414,0.45209580838323354,8,1,406,301,0.7149700598802395
samoyed_125,samoyed,dog,train,0.4,0.42857142857142855,56,40,344,368,0.3969075630252101
pug_117,pug,dog,train,0.565,0.44294294294294295,232,105,333,190,0.05156156156156156
english_setter_118,english_setter,dog,train,0.46,0.32432432432432434,197,82,263,134,0.020612612612612612
staffordshire_bull_terrier_144,staffordshire_bull_terrier,dog,train,0.414,0.396,101,71,313,226,0.17525333333333334
Bengal_124,Bengal,cat,train,0.199,0.2695417789757412,52,47,147,153,0.054285714285714284
american_bulldog_150,american_bulldog,dog,train,0.507,0.49101796407185627,118,35,389,293,0.41867065868263476
chihuahua_126,chihuahua,dog,train,0.71,0.35555555555555557,128,25,298,135,0.277037037037037
Ragdoll_139,Ragdoll,cat,train,0.568,0.25259067357512954,209,1,359,194,0.15
havanese_132,havanese,dog,train,0.414,0.6225,54,104,360,394,0.4437
Bombay_152,Bombay,cat,train,0.7390625,0.4760820045558087,364,98,582,320,0.172252277904328
german_shorthaired_136,german_shorthaired,dog,train,0.5396419437340153,0.331,39,15,383,316,0.5296368286445012
Maine_Coon_145,Maine_Coon,cat,train,0.45495495495495497,0.401,61,113,242,288,0.19024024024024025
pug_155,pug,dog,train,0.54,0.36444444444444446,89,30,235,134,0.22494814814814815
scottish_terrier_17,scottish_terrier,dog,train,0.5,0.44294294294294295,142,43,358,252,0.27113513513513515
yorkshire_terrier_136,yorkshire_terrier,dog,train,0.64,0.36666666666666664,155,38,229,127,0.09757037037037038
saint_bernard_127,saint_bernard,dog,train,0.516,0.4550898203592814,132,28,384,276,0.3742275449101796
wheaten_terrier_114,wheaten_terrier,dog,train,0.619,0.3453333333333333,272,93,347,166,0.0292
Ragdoll_122,Ragdoll,cat,train,0.522,0.38,121,23,401,262,0.35690666666666665
Ragdoll_100,Ragdoll,cat,train,0.6203904555314533,0.3901098901098901,170,15,402,269,0.3511716049677004
wheaten_terrier_110,wheaten_terrier,dog,train,0.53003003003003,0.308,54,25,299,283,0.37963963963963965
great_pyrenees_104,great_pyrenees,dog,train,0.346,0.48737373737373735,24,47,322,339,0.43947474747474746
newfoundland_16,newfoundland,dog,train,0.541,0.4106666666666667,133,43,408,265,0.3256
staffordshire_bull_terrier_135,staffordshire_bull_terrier,dog,train,0.458,0.392,186,109,272,185,0.03485866666666667
american_bulldog_121,american_bulldog,dog,train,0.721,0.4039039039039039,306,101,415,168,0.04386186186186186
pomeranian_153,pomeranian,dog,train,0.4666666666666667,0.43333333333333335,76,40,204,155,0.2180740740740741
miniature_pinscher_11,miniature_pinscher,dog,train,0.464,0.424,79,12,385,306,0.479808
pug_173,pug,dog,train,0.6567944250871081,0.55,90,85,287,245,0.36608594657375143
havanese_130,havanese,dog,train,0.465,0.47333333333333333,52,37,413,318,0.5410186666666666
english_setter_143,english_setter,dog,train,0.4797979797979798,0.308,104,69,276,239,0.14767676767676768
newfoundland_138,newfoundland,dog,train,0.621,0.45645645645645644,155,1,466,303,0.5640960960960961
British_Shorthair_165,British_Shorthair,cat,train,0.641,0.3057228915662651,255,41,386,162,0.09548795180722891
chihuahua_125,chihuahua,dog,train,0.6913793103448276,0.295,117,4,284,173,0.3244022988505747
english_setter_144,english_setter,dog,train,0.708,0.2289156626506024,301,46,407,106,0.038313253012048194
beagle_128,beagle,dog,train,0.434,0.4009009009009009,124,47,310,220,0.19326126126126125
german_shorthaired_15,german_shorthaired,dog,train,0.285,0.22372372372372373,53,12,232,137,0.13438438438438438
Ragdoll_148,Ragdoll,cat,train,0.4222222222222222,0.3363431151241535,62,34,318,264,0.29535991973915227
great_pyrenees_103,great_pyrenees,dog,train,0.492,0.4666666666666667,180,109,312,241,0.092928
american_pit_bull_terrier_10,american_pit_bull_terrier,dog,train,0.716,0.3220108695652174,307,80,409,157,0.042684782608695654
chihuahua_120,chihuahua,dog,train,0.40166666666666667,0.2777777777777778,69,13,172,112,0.15106666666666665
wheaten_terrier_138,wheaten_terrier,dog,train,0.274,0.43466666666666665,99,113,175,213,0.04053333333333333
boxer_111,boxer,dog,train,0.437,0.36036036036036034,116,1,321,239,0.293033033033033
chihuahua_138,chihuahua,dog,train,0.4533333333333333,0.38666666666666666,96,44,176,130,0.10192592592592592
havanese_166,havanese,dog,train,0.392,0.40963855421686746,118,37,274,235,0.18607228915662652
leonberger_152,leonberger,dog,train,0.48711340206185566,0.402,39,43,339,359,0.488659793814433
miniature_pinscher_124,miniature_pinscher,dog,train,0.39473684210526316,0.515,20,60,85,146,0.21015037593984962
Maine_Coon_136,Maine_Coon,cat,train,0.41811414392059554,0.341,97,91,240,250,0.11283870967741935
english_setter_119,english_setter,dog,train,0.74,0.35673352435530087,298,66,442,183,0.09655014326647564
pomeranian_150,pomeranian,dog,train,0.5555555555555556,0.305,69,19,181,164,0.24059259259259258
yorkshire_terrier_110,yorkshire_terrier,dog,train,0.6613756613756614,0.645,177,214,323,431,0.16762962962962963
Abyssinian_131,Abyssinian,cat,train,0.35852090032154343,0.3203125,17,25,206,180,0.2943629421221865
japanese_chin_163,japanese_chin,dog,train,0.5866666666666667,0.425,108,99,332,326,0.27118933333333334
Russian_Blue_106,Russian_Blue,cat,train,0.3476923076923077,0.195,45,24,181,171,0.12302769230769231
american_bulldog_101,american_bulldog,dog,train,0.487,0.3188622754491018,168,35,319,178,0.1292994011976048
havanese_124,havanese,dog,train,0.247,0.268,10,19,237,182,0.19733866666666666
Siamese_173,Siamese,cat,train,0.4604519774011299,0.266,89,55,237,211,0.1304406779661017
keeshond_127,keeshond,dog,train,0.422,0.39039039039039036,150,78,272,182,0.0762042042042042
newfoundland_113,newfoundland,dog,train,0.6774193548387096,0.22,194,43,310,177,0.08356989247311827
japanese_chin_133,japanese_chin,dog,train,0.267,0.5165165165165165,68,96,199,248,0.11959159159159159
samoyed_12,samoyed,dog,train,0.46266666666666667,0.269,108,48,239,221,0.12086933333333333
Bombay_153,Bombay,cat,train,0.69,0.4086206896551724,225,65,327,172,0.09408620689655173
german_shorthaired_107,german_shorthaired,dog,train,0.4826666666666667,0.42,39,43,323,377,0.5058986666666667
Birman_120,Birman,cat,train,0.448,0.4493333333333333,80,47,368,290,0.373248
Birman_167,Birman,cat,train,0.506,0.31866666666666665,192,63,314,176,0.07352533333333333
samoyed_133,samoyed,dog,train,0.61,0.37237237237237236,212,10,398,238,0.2547027027027027
British_Shorthair_163,British_Shorthair,cat,train,0.593,0.35342465753424657,257,84,336,174,0.03895890410958904
english_cocker_spaniel_112,english_cocker_spaniel,dog,train,0.44579945799457993,0.527,42,132,287,395,0.34924119241192414
Siamese_103,Siamese,cat,train,0.512,0.5096774193548387,175,74,337,242,0.17558709677419354
miniature_pinscher_148,miniature_pinscher,dog,train,0.49166666666666664,0.4222222222222222,104,60,191,130,0.09022222222222222
pomeranian_137,pomeranian,dog,train,0.405,0.3333333333333333,61,12,182,138,0.22586666666666666
great_pyrenees_108,great_pyrenees,dog,train,0.626,0.29473684210526313,230,66,396,214,0.10344421052631579
Abyssinian_15,Abyssinian,cat,train,0.46855345911949686,0.4419431279620853,16,16,431,357,0.703026419068626
Russian_Blue_12,Russian_Blue,cat,train,0.5416666666666666,0.4111111111111111,89,135,561,605,0.4108148148148148
havanese_171,havanese,dog,train,0.465,0.5053333333333333,43,57,422,322,0.5356533333333333
Bengal_127,Bengal,cat,train,0.319,0.1827956989247312,115,14,204,122,0.05167741935483871
english_setter_13,english_setter,dog,train,0.5015060240963856,0.487,1,1,332,486,0.9670783132530121
yorkshire_terrier_105,yorkshire_terrier,dog,train,0.463,0.3813813813813814,171,51,292,203,0.11046246246246247
scottish_terrier_120,scottish_terrier,dog,train,0.6598557692307693,0.345,162,40,387,305,0.28665865384615385
Russian_Blue_129,Russian_Blue,cat,train,0.499,0.35294117647058826,178,41,321,187,0.12927554179566564
japanese_chin_151,japanese_chin,dog,train,0.4411134903640257,0.436,72,101,340,335,0.26857387580299785
staffordshire_bull_terrier_166,staffordshire_bull_terrier,dog,train,0.46996996996997,0.238,80,64,233,174,0.10108108108108108
havanese_135,havanese,dog,train,0.513,0.449671772428884,63,49,450,362,0.5301137855579868
Bombay_132,Bombay,cat,train,0.5133333333333333,0.3977777777777778,167,36,449,322,0.2987111111111111
pug_10,pug,dog,train,0.3978978978978979,0.17,70,37,195,133,0.07207207207207207
english_cocker_spaniel_107,english_cocker_spaniel,dog,train,0.605,0.3763157894736842,237,72,368,214,0.09790526315789473
Bombay_136,Bombay,cat,train,0.565,0.2774725274725275,72,3,154,98,0.214010989010989
Siamese_100,Siamese,cat,train,0.553,0.3426666666666667,205,44,348,213,0.12889066666666665
Abyssinian_13,Abyssinian,cat,train,0.7408163265306122,0.21607142857142858,145,25,218,96,0.0755539358600583
yorkshire_terrier_124,yorkshire_terrier,dog,train,0.38,0.3711111111111111,22,8,206,159,0.4116148148148148
american_bulldog_139,american_bulldog,dog,train,0.5134730538922155,0.374,125,142,218,232,0.05011976047904192
leonberger_138,leonberger,dog,train,0.449,0.18468468468468469,174,23,275,100,0.04670870870870871
american_pit_bull_terrier_149,american_pit_bull_terrier,dog,train,0.5892857142857143,0.31833333333333336,50,10,214,181,0.41732142857142857
Ragdoll_115,Ragdoll,cat,train,0.343,0.496996996996997,43,40,300,291,0.38742942942942943
samoyed_104,samoyed,dog,train,0.507,0.2957957957957958,187,18,320,179,0.1286066066066066
shiba_inu_125,shiba_inu,dog,train,0.71,0.26506024096385544,301,13,409,163,0.09759036144578313
Bombay_106,Bombay,cat,train,0.4161676646706587,0.3,33,32,106,118,0.15037125748502994
saint_bernard_16,saint_bernard,dog,train,0.306,0.6253333333333333,109,198,197,271,0.03426133333333333
Bombay_1,Bombay,cat,train,0.6666666666666666,0.2581818181818182,93,43,151,99,0.0645404868355688
havanese_142,havanese,dog,train,0.447,0.47266881028938906,3,23,444,271,0.7033311897106109
keeshond_132,keeshond,dog,train,0.46,0.44133333333333336,127,26,333,305,0.306528
Russian_Blue_178,Russian_Blue,cat,train,0.6653333333333333,0.221,170,25,329,196,0.145008
boxer_147,boxer,dog,train,0.461,0.444,91,1,370,332,0.492528
american_pit_bull_terrier_151,american_pit_bull_terrier,dog,train,0.7433333333333333,0.30272108843537415,173,49,273,129,0.09070294784580499
newfoundland_170,newfoundland,dog,train,0.548,0.3413333333333333,133,1,415,255,0.382016
Ragdoll_159,Ragdoll,cat,train,0.355,0.17257683215130024,115,5,240,141,0.08037825059101655
english_cocker_spaniel_106,english_cocker_spaniel,dog,train,0.505,0.25675675675675674,174,10,331,161,0.1423843843843844
Persian_165,Persian,cat,train,0.448,0.3993993993993994,43,1,405,265,0.573981981981982
newfoundland_17,newfoundland,dog,train,0.336,0.357,60,106,192,251,0.10208
Abyssinian_159,Abyssinian,cat,train,0.19836065573770492,0.19900497512437812,26,12,95,68,0.06302911671152435
